,Tourist Spots,Latitude,Longitude,Location,Type
37,Matiabag Palace,26.5,89.58333333333333,,Archaeological Site
39,Talatal Ghar,26.96638888888889,94.61666666666666,,Archaeological Site
40,Dibru-Saikhowa National Park,27.666666666666668,95.38333333333334,,Wildlife
41,Kaziranga National Park,26.666666666666668,93.35,,Wildlife
42,Manas National Park,26.716666666666665,90.93333333333334,,Wildlife
43,Nameri National Park,27.01,92.78333333333333,,Wildlife
44,Orang National Park,26.556944444444444,92.31666666666666,,Wildlife
48,Bornadi Wildlife Sanctuary,26.805833333333332,91.73333333333333,,Wildlife
49,Bura Chapori Wildlife Sanctuary,26.865833333333335,92.83333333333333,,Wildlife
53,Garampani Wildlife Sanctuary,26.42,93.71666666666667,,Wildlife
54,Hoollongapar Gibbon Sanctuary,26.716666666666665,94.38333333333334,,Wildlife
55,Laokhowa Wildlife Sanctuary,26.506666666666668,92.7,,Wildlife
57,Nambor Wildlife Sanctuary,26.39527777777778,93.86666666666666,,Wildlife
58,Pani Dihing Wildlife Sanctuary,27.121944444444445,94.58333333333333,,Wildlife
59,Pobitora Wildlife Sanctuary,26.241111111111113,92.05,,Wildlife
60,Sonai Rupai Wildlife Sanctuary,26.894166666666667,92.33333333333333,,Wildlife
61,"Bagheswari Temple, Bongaigaon",26.46944444444444,91.55,,Temple
62,Basudev Devalaya,26.434083333333334,91.4,,Temple
63,Bhairabi Temple,26.618055555555557,92.81666666666666,,Temple
65,Billeswar Devalaya,26.381833333333333,91.35,,Temple
66,Dah Parvatiya,26.633333333333333,92.8,,Temple
67,Dhekiakhowa Bornamghar,26.466666666666665,94.18333333333334,,Temple
68,Doul Govinda Temple,26.206666666666667,91.73333333333333,,Temple
73,Madhab Than,26.2,92.63333333333334,,Temple
74,Mahabhairav Temple,26.634166666666665,92.78333333333333,,Temple
79,Sivasagar Sivadol,26.98888888888889,94.61666666666666,,Temple
81,Thetha Gohain Than,26.332416666666667,91.48333333333333,,Temple
82,Panbari Mosque,26.154999999999998,90.05,,Mosque
83,Madhupur Satra,26.363611111111112,89.36666666666666,,Temple
88,Basudev Than,27.361666666666668,94.55,,Temple
94,Pahukata Namghar,26.849722222222223,92.56666666666666,,Temple
95,Barsapara Stadium,26.145,91.73333333333333,,Sport
96,Jorhat District Sports Association Ground,26.756666666666668,94.2,,Sport
97,Jorhat Gymkhana Club,26.732499999999998,94.21666666666667,,Sport
98,Jorhat Stadium,26.755,94.2,,Sport
102,"Nehru Stadium, Guwahati",26.180555555555557,91.75,,Sport
106,Satindra Mohan Dev Stadium,24.829755555555554,92.78333333333333,,Sport
107,Indira Gandhi Athletic Stadium,26.115555555555556,91.75,,Sport
108,Jorhat District Sports Association Ground,26.756666666666668,94.2,,Sport
109,Jorhat Gymkhana Club,26.732499999999998,94.21666666666667,,Sport
110,Jorhat Stadium,26.755,94.2,,Sport
113,"Nehru Stadium, Guwahati",26.180555555555557,91.75,,Sport
116,Satindra Mohan Dev Stadium,24.829755555555554,92.78333333333333,,Sport
117,SSB Ranidanga Stadium,26.684166666666666,88.36666666666666,,Sport
118,Barsapara Stadium,26.145,91.73333333333333,,Sport
119,Indira Gandhi Athletic Stadium,26.115555555555556,91.75,,Sport
121,"Nehru Stadium, Guwahati",26.180555555555557,91.75,,Sport
1,Basarh,25.97722222222222,85.11666666666666,,Archaeological Site
2,Bulandi Bagh,25.601944444444445,85.16666666666667,,Archaeological Site
3,Chirand,25.74088411111111,84.81666666666666,,Archaeological Site
6,Kesaria,26.334166666666665,84.85,,Archaeological Site
7,Kesaria stupa,26.334166666666665,84.85,,Archaeological Site
9,Lomas Rishi Cave,25.006444444444444,85.05,,Archaeological Site
10,"Rohtas Fort, India",24.623333333333335,83.9,,Archaeological Site
12,Munger Fort,25.380277777777778,86.45,,Archaeological Site
14,Sitamarhi Cave,24.9,85.28333333333333,,Archaeological Site
15,Son Bhandar Caves,25.029999999999998,85.41666666666667,,Archaeological Site
16,Barabar Caves,25.005,85.05,,Archaeological Site
17,Jivakarama vihara,24.99527777777778,85.43333333333334,,Archaeological Site
18,Nalanda,25.136666666666667,85.43333333333334,,Archaeological Site
19,Saptaparni Cave,25.00722222222222,85.4,,Archaeological Site
20,Vaishali (ancient city),25.983333333333334,85.13333333333334,,Archaeological Site
21,Vikramashila,25.32472222222222,87.28333333333333,,Archaeological Site
22,Bakraur,24.698055555555555,85.0,,Archaeological Site
23,Barabar Caves,25.005,85.05,,Archaeological Site
24,Bodh Gaya,24.695,84.98333333333333,,Archaeological Site
25,Buddha Samyak Darshan Museum and Memorial Stupa,25.983333333333334,85.13333333333334,,Archaeological Site
26,Jivakarama vihara,24.99527777777778,85.43333333333334,,Archaeological Site
27,Mahabodhi Temple,24.69611111111111,84.98333333333333,,Archaeological Site
28,Mocharim,24.680555555555557,84.98333333333333,,Archaeological Site
29,Nalanda,25.136666666666667,85.43333333333334,,Archaeological Site
31,Rajgir,25.033333333333335,85.41666666666667,,Archaeological Site
32,Saptaparni Cave,25.00722222222222,85.4,,Archaeological Site
33,Vaishali (ancient city),25.983333333333334,85.13333333333334,,Archaeological Site
34,Vikramashila,25.32472222222222,87.28333333333333,,Archaeological Site
35,Barabar Caves,25.005,85.05,,Archaeological Site
